version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,BuiThuTrang,system_prompt.md,v0+pf86d12caa5ef+t0716055b62e0,f86d12caa5ef9a394d05b72018b80ee433ab06f73ce73626430547ff65636952,0716055b62e04a14cc1fca4c93bfb6bf93454fd0939770bbb4bfe2e45aa6c2cd,Initial baseline setup,Baseline prompt with initial tool routing,case_accuracy,0.0,0.95,runs/v0_B_base_openrouter_20260729T161000087733.json
v1,BuiThuTrang,system_prompt.md,v1+pa33b747ca928+t0716055b62e0,a33b747ca92837ff29b6f17e0ab44f07a726ea9e1a14c6dcfefdcece55979c3d,0716055b62e04a14cc1fca4c93bfb6bf93454fd0939770bbb4bfe2e45aa6c2cd,Tool switching instruction,Add rule for switching from social search to web lookup,multiturn_accuracy,0.8333,0.8333,runs/v1_B_base_openrouter_20260729T161238387349.json
v2,BuiThuTrang,system_prompt.md,v2+p3409afb9aed3+t0716055b62e0,3409afb9aed39ddaeefebdd80c2fb753d0e2e92ec49ebfa8bceaafe3c44e99f0,0716055b62e04a14cc1fca4c93bfb6bf93454fd0939770bbb4bfe2e45aa6c2cd,Strict multi-turn switch rule,Enforce single tool execution when prior turns requested dropping social search,case_accuracy,0.95,1.00,runs/v2_B_base_openrouter_20260729T161442149816.json
v3,BuiThuTrang,system_prompt.md,v3+p3b1b86e2b782+t0716055b62e0,3b1b86e2b782167ed3dfdf23226a267a505b22fbef1bbfe96c21be4a8efdd5d0,0716055b62e04a14cc1fca4c93bfb6bf93454fd0939770bbb4bfe2e45aa6c2cd,Add sentiment_analyzer routing,Integrate sentiment_analyzer routing rules for PR/marketing analysis,case_accuracy,1.00,1.00,runs/v3_B_base_openrouter_20260729T163014193217.json
